"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 18, 2021","36,486.3","35,838.2","36,603.6","34,801.0","110.49K","1.80%"
"Jan 17, 2021","35,839.6","36,020.1","36,801.3","33,883.5","126.82K","-0.50%"
"Jan 16, 2021","36,019.5","36,751.8","37,931.7","35,408.4","137.02K","-2.24%"
"Jan 15, 2021","36,845.8","39,175.7","39,715.0","34,488.7","118.42K","-5.95%"
"Jan 14, 2021","39,175.7","37,383.4","40,054.3","36,772.1","172.40K","4.80%"
"Jan 13, 2021","37,382.2","34,061.2","37,764.6","32,451.9","209.93K","9.70%"
"Jan 12, 2021","34,076.1","35,426.0","36,598.7","32,572.7","241.93K","-4.13%"
"Jan 11, 2021","35,544.3","38,195.3","38,217.2","30,411.6","251.04K","-6.93%"
"Jan 10, 2021","38,192.2","40,149.7","41,362.4","35,141.6","215.78K","-4.88%"
"Jan 09, 2021","40,151.9","40,607.2","41,363.5","38,775.1","128.42K","-1.10%"
"Jan 08, 2021","40,599.3","39,466.4","41,921.7","36,613.4","251.29K","2.89%"
"Jan 07, 2021","39,460.2","36,798.5","40,340.9","36,361.2","249.60K","7.25%"
"Jan 06, 2021","36,793.2","33,999.3","36,934.8","33,408.3","227.56K","8.24%"
"Jan 05, 2021","33,991.5","32,015.4","34,414.7","30,010.5","202.13K","6.15%"
"Jan 04, 2021","32,022.6","33,016.6","33,587.5","28,204.5","255.27K","-2.84%"
"Jan 03, 2021","32,958.9","32,192.9","34,755.9","32,029.6","155.21K","2.38%"
"Jan 02, 2021","32,193.3","29,359.7","33,233.5","29,008.0","240.87K","9.65%"
"Jan 01, 2021","29,359.9","28,951.7","29,627.1","28,712.4","100.90K","1.42%"
"Dec 31, 2020","28,949.4","28,866.8","29,298.8","28,025.0","136.69K","0.28%"
"Dec 30, 2020","28,868.7","27,374.5","28,979.3","27,374.5","159.82K","5.45%"
"Dec 29, 2020","27,376.0","27,065.3","27,390.7","25,902.8","119.57K","1.18%"
"Dec 28, 2020","27,057.8","26,259.2","27,444.9","26,144.3","126.98K","3.03%"
"Dec 27, 2020","26,261.3","26,460.3","28,360.3","25,858.2","231.23K","-0.73%"
"Dec 26, 2020","26,454.4","24,714.7","26,826.0","24,515.1","155.77K","7.15%"
"Dec 25, 2020","24,689.6","23,728.7","24,778.9","23,445.3","2.40K","4.02%"
"Dec 24, 2020","23,736.5","23,253.2","23,783.7","22,737.3","104.59K","2.06%"
"Dec 23, 2020","23,257.9","23,820.8","24,063.7","22,694.7","178.47K","-2.37%"
"Dec 22, 2020","23,823.2","22,730.4","23,825.4","22,388.6","130.75K","4.82%"
"Dec 21, 2020","22,728.5","23,474.1","24,101.9","22,015.5","154.69K","-3.18%"
"Dec 20, 2020","23,474.9","23,843.6","24,280.9","23,098.9","114.09K","-1.55%"
"Dec 19, 2020","23,844.0","23,127.6","24,107.1","22,797.0","133.88K","3.10%"
"Dec 18, 2020","23,127.9","22,823.3","23,272.8","22,361.5","131.80K","1.33%"